municipality,country,iso3c,year,measurement_name,measurement_value,measurement_unit,original_variable_name
Rishikesh,India,IND,2021,amount_of_waste_collected_formally_treated_recycling_composting_paper_and_cardboard_tonnes_per_day,0.0,t/d,q_6_2
Rishikesh,India,IND,2021,amount_of_waste_collected_formally_treated_recycling_composting_plastic_tonnes_per_day,0.0,t/d,q_6_3
Rishikesh,India,IND,2021,amount_of_waste_collected_formally_treated_recycling_composting_glass_tonnes_per_day,0.0,t/d,q_6_4
Rishikesh,India,IND,2021,amount_of_waste_collected_formally_treated_recycling_composting_metal_tonnes_per_day,0.0,t/d,q_6_5
Rishikesh,India,IND,2021,amount_of_waste_collected_formally_treated_recycling_composting_other_waste_tonnes_per_day,0.0,t/d,q_6_6
Rishikesh,India,IND,2021,reliability_score_reliability_score,1.0,Score 0-1,q_6_reliability
Rishikesh,India,IND,2021,amount_of_waste_collected_informally_treated_recycling_composting_food_and_organic_tonnes_per_day,1.25458,t/d,q_7_1
Rishikesh,India,IND,2021,amount_of_waste_collected_informally_treated_recycling_composting_paper_and_cardboard_tonnes_per_day,0.37637,t/d,q_7_2
Rishikesh,India,IND,2021,amount_of_waste_collected_informally_treated_recycling_composting_plastic_tonnes_per_day,0.31364,t/d,q_7_3
Rishikesh,India,IND,2021,amount_of_waste_collected_informally_treated_recycling_composting_glass_tonnes_per_day,0.15682,t/d,q_7_4
Rishikesh,India,IND,2021,amount_of_waste_collected_informally_treated_recycling_composting_metal_tonnes_per_day,0.0,t/d,q_7_5
Rishikesh,India,IND,2021,amount_of_waste_collected_informally_treated_recycling_composting_other_waste_tonnes_per_day,0.0,t/d,q_7_6
Rishikesh,India,IND,2021,reliability_score_reliability_score,1.0,Score 0-1,q_7_reliability
Rishikesh,India,IND,2021,pct_of_waste_collected_by_the_formal_service_chain_incl_treatment_percent,1.0,%,q_8_1
Rishikesh,India,IND,2021,pct_of_waste_collected_by_the_informal_service_chain_percent,5.0,%,q_8_2
Rishikesh,India,IND,2021,source_methodology_source_methodology,"
",Text,q_8_meta
Rishikesh,India,IND,2021,reliability_score_reliability_score,0.66,Score 0-1,q_8_reliability
Rishikesh,India,IND,2021,waste_treatment_and_disposal_formally_managed_pct_recycled_composted,0,% of formally collected,q_9_1
Rishikesh,India,IND,2021,source_methodology_source_methodology,"

",Text,q_9_meta
Rishikesh,India,IND,2021,reliability_score_pct_recycled_composted_reliability_score,0.66,Score 0-1,q_9_1_reliability
Rishikesh,India,IND,2021,waste_treatment_and_disposal_formally_managed_pct_thermal_treatment,0,% of formally collected,q_9_2
Rishikesh,India,IND,2021,reliability_score_pct_thermal_treatment_reliability_score,0.66,Score 0-1,q_9_2_reliability
Rishikesh,India,IND,2021,waste_treatment_and_disposal_formally_managed_pct_landfill,0,% of formally collected,q_9_3
Rishikesh,India,IND,2021,reliability_score_pct_landfill_reliability_score,0.66,Score 0-1,q_9_3_reliability
Rishikesh,India,IND,2021,waste_management_system_and_collection_service_user_interface_and_orientation_score_1_7,3.0,Score 1-7,q_10_1
Rishikesh,India,IND,2021,waste_management_system_and_collection_service_service_providers_score_1_7,2.0,Score 1-7,q_10_2
Rishikesh,India,IND,2021,waste_management_system_and_collection_service_hardware_and_equipment_score_1_7,3.0,Score 1-7,q_10_3
Rishikesh,India,IND,2021,waste_management_system_and_collection_service_management_and_operation_score_1_7,4.0,Score 1-7,q_10_4
Rishikesh,India,IND,2021,reliability_score_reliability_score,0.66,Score 0-1,q_10_reliability
Rishikesh,India,IND,2021,financial_aspects_cost_coverage_score_1_7,4.0,Score 1-7,q_11_1
Rishikesh,India,IND,2021,financial_aspects_budget_security_score_1_7,4.0,Score 1-7,q_11_2
Rishikesh,India,IND,2021,reliability_score_reliability_score,0.33,Score 0-1,q_11_reliability
Rishikesh,India,IND,2021,aspects_of_citizen_involvement_user_satisfaction_score_1_7,0.0,Score 1-7,q_12_1
Rishikesh,India,IND,2021,aspects_of_citizen_involvement_public_awareness_score_1_7,7.0,Score 1-7,q_12_2
Rishikesh,India,IND,2021,reliability_score_reliability_score,0.33,Score 0-1,q_12_reliability
Rishikesh,India,IND,2021,aspects_of_inclusiveness_and_political_framework_integration_of_informal_sector_and_private_sector_s,0.0,Score 1-7,q_13_1
Rishikesh,India,IND,2021,aspects_of_inclusiveness_and_political_framework_policy_making_and_planning_score_1_7,4.0,Score 1-7,q_13_2
Rishikesh,India,IND,2021,reliability_score_reliability_score,0.33,Score 0-1,q_13_reliability
